event_id,start_cycle,end_cycle,duration,token_id,stage,resource,expert_id,tile_id,fixed_reserved_bytes,workspace_reserved_bytes,on_chip_kv_bytes,on_chip_total_reserved_bytes,on_chip_capacity_bytes,on_chip_utilization_percent,bytes_transferred,effective_bandwidth_bytes_per_cycle,peak_bandwidth_bytes_per_cycle,bandwidth_utilization_percent
0,0,3,3,0,qkv_attention_prepare,compute,,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
1,3,3,0,0,place_token_kv,state,,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
2,3,6,3,0,kv_write,memory,,,128,128,32,288,288,100.0,16,5.333333333333333,16.0,33.33333333333333
3,6,9,3,0,attention_kv_read,memory,,,128,128,32,288,288,100.0,16,5.333333333333333,16.0,33.33333333333333
4,9,12,3,0,attention_compute,compute,,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
5,12,15,3,0,router_compute,compute,,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
6,15,15,0,0,expert_partial_sum_allocate,state,0,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
7,15,21,6,0,expert_gu_weight_read,memory,0,0,128,128,32,288,288,100.0,64,10.666666666666666,16.0,66.66666666666666
8,21,26,5,0,expert_gu_compute,compute,0,0,128,128,32,288,288,100.0,0,0.0,16.0,0.0
9,26,29,3,0,expert_nonlinear,compute,0,0,128,128,32,288,288,100.0,0,0.0,16.0,0.0
10,29,33,4,0,expert_down_weight_read,memory,0,0,128,128,32,288,288,100.0,32,8.0,16.0,50.0
11,33,36,3,0,expert_down_compute,compute,0,0,128,128,32,288,288,100.0,0,0.0,16.0,0.0
12,36,42,6,0,expert_gu_weight_read,memory,0,1,128,128,32,288,288,100.0,64,10.666666666666666,16.0,66.66666666666666
13,42,47,5,0,expert_gu_compute,compute,0,1,128,128,32,288,288,100.0,0,0.0,16.0,0.0
14,47,50,3,0,expert_nonlinear,compute,0,1,128,128,32,288,288,100.0,0,0.0,16.0,0.0
15,50,54,4,0,expert_down_weight_read,memory,0,1,128,128,32,288,288,100.0,32,8.0,16.0,50.0
16,54,57,3,0,expert_down_compute,compute,0,1,128,128,32,288,288,100.0,0,0.0,16.0,0.0
17,57,61,4,0,expert_gu_weight_read,memory,0,2,128,128,32,288,288,100.0,32,8.0,16.0,50.0
18,61,64,3,0,expert_gu_compute,compute,0,2,128,128,32,288,288,100.0,0,0.0,16.0,0.0
19,64,67,3,0,expert_nonlinear,compute,0,2,128,128,32,288,288,100.0,0,0.0,16.0,0.0
20,67,70,3,0,expert_down_weight_read,memory,0,2,128,128,32,288,288,100.0,16,5.333333333333333,16.0,33.33333333333333
21,70,72,2,0,expert_down_compute,compute,0,2,128,128,32,288,288,100.0,0,0.0,16.0,0.0
22,72,72,0,0,expert_release,state,0,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
23,72,72,0,0,expert_partial_sum_allocate,state,1,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
24,72,78,6,0,expert_gu_weight_read,memory,1,0,128,128,32,288,288,100.0,64,10.666666666666666,16.0,66.66666666666666
25,78,83,5,0,expert_gu_compute,compute,1,0,128,128,32,288,288,100.0,0,0.0,16.0,0.0
26,83,86,3,0,expert_nonlinear,compute,1,0,128,128,32,288,288,100.0,0,0.0,16.0,0.0
27,86,90,4,0,expert_down_weight_read,memory,1,0,128,128,32,288,288,100.0,32,8.0,16.0,50.0
28,90,93,3,0,expert_down_compute,compute,1,0,128,128,32,288,288,100.0,0,0.0,16.0,0.0
29,93,99,6,0,expert_gu_weight_read,memory,1,1,128,128,32,288,288,100.0,64,10.666666666666666,16.0,66.66666666666666
30,99,104,5,0,expert_gu_compute,compute,1,1,128,128,32,288,288,100.0,0,0.0,16.0,0.0
31,104,107,3,0,expert_nonlinear,compute,1,1,128,128,32,288,288,100.0,0,0.0,16.0,0.0
32,107,111,4,0,expert_down_weight_read,memory,1,1,128,128,32,288,288,100.0,32,8.0,16.0,50.0
33,111,114,3,0,expert_down_compute,compute,1,1,128,128,32,288,288,100.0,0,0.0,16.0,0.0
34,114,118,4,0,expert_gu_weight_read,memory,1,2,128,128,32,288,288,100.0,32,8.0,16.0,50.0
35,118,121,3,0,expert_gu_compute,compute,1,2,128,128,32,288,288,100.0,0,0.0,16.0,0.0
36,121,124,3,0,expert_nonlinear,compute,1,2,128,128,32,288,288,100.0,0,0.0,16.0,0.0
37,124,127,3,0,expert_down_weight_read,memory,1,2,128,128,32,288,288,100.0,16,5.333333333333333,16.0,33.33333333333333
38,127,129,2,0,expert_down_compute,compute,1,2,128,128,32,288,288,100.0,0,0.0,16.0,0.0
39,129,129,0,0,expert_release,state,1,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
40,129,131,2,0,topk_merge,compute,,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
41,131,131,0,0,token_complete,state,,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
42,131,134,3,1,qkv_attention_prepare,compute,,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
43,134,134,0,1,place_token_kv,state,,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
44,134,137,3,1,kv_write,memory,,,128,128,32,288,288,100.0,16,5.333333333333333,16.0,33.33333333333333
45,137,141,4,1,attention_kv_read,memory,,,128,128,32,288,288,100.0,32,8.0,16.0,50.0
46,141,144,3,1,attention_compute,compute,,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
47,144,147,3,1,router_compute,compute,,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
48,147,147,0,1,expert_partial_sum_allocate,state,1,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
49,147,153,6,1,expert_gu_weight_read,memory,1,0,128,128,32,288,288,100.0,64,10.666666666666666,16.0,66.66666666666666
50,153,158,5,1,expert_gu_compute,compute,1,0,128,128,32,288,288,100.0,0,0.0,16.0,0.0
51,158,161,3,1,expert_nonlinear,compute,1,0,128,128,32,288,288,100.0,0,0.0,16.0,0.0
52,161,165,4,1,expert_down_weight_read,memory,1,0,128,128,32,288,288,100.0,32,8.0,16.0,50.0
53,165,168,3,1,expert_down_compute,compute,1,0,128,128,32,288,288,100.0,0,0.0,16.0,0.0
54,168,174,6,1,expert_gu_weight_read,memory,1,1,128,128,32,288,288,100.0,64,10.666666666666666,16.0,66.66666666666666
55,174,179,5,1,expert_gu_compute,compute,1,1,128,128,32,288,288,100.0,0,0.0,16.0,0.0
56,179,182,3,1,expert_nonlinear,compute,1,1,128,128,32,288,288,100.0,0,0.0,16.0,0.0
57,182,186,4,1,expert_down_weight_read,memory,1,1,128,128,32,288,288,100.0,32,8.0,16.0,50.0
58,186,189,3,1,expert_down_compute,compute,1,1,128,128,32,288,288,100.0,0,0.0,16.0,0.0
59,189,193,4,1,expert_gu_weight_read,memory,1,2,128,128,32,288,288,100.0,32,8.0,16.0,50.0
60,193,196,3,1,expert_gu_compute,compute,1,2,128,128,32,288,288,100.0,0,0.0,16.0,0.0
61,196,199,3,1,expert_nonlinear,compute,1,2,128,128,32,288,288,100.0,0,0.0,16.0,0.0
62,199,202,3,1,expert_down_weight_read,memory,1,2,128,128,32,288,288,100.0,16,5.333333333333333,16.0,33.33333333333333
63,202,204,2,1,expert_down_compute,compute,1,2,128,128,32,288,288,100.0,0,0.0,16.0,0.0
64,204,204,0,1,expert_release,state,1,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
65,204,204,0,1,expert_partial_sum_allocate,state,2,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
66,204,210,6,1,expert_gu_weight_read,memory,2,0,128,128,32,288,288,100.0,64,10.666666666666666,16.0,66.66666666666666
67,210,215,5,1,expert_gu_compute,compute,2,0,128,128,32,288,288,100.0,0,0.0,16.0,0.0
68,215,218,3,1,expert_nonlinear,compute,2,0,128,128,32,288,288,100.0,0,0.0,16.0,0.0
69,218,222,4,1,expert_down_weight_read,memory,2,0,128,128,32,288,288,100.0,32,8.0,16.0,50.0
70,222,225,3,1,expert_down_compute,compute,2,0,128,128,32,288,288,100.0,0,0.0,16.0,0.0
71,225,231,6,1,expert_gu_weight_read,memory,2,1,128,128,32,288,288,100.0,64,10.666666666666666,16.0,66.66666666666666
72,231,236,5,1,expert_gu_compute,compute,2,1,128,128,32,288,288,100.0,0,0.0,16.0,0.0
73,236,239,3,1,expert_nonlinear,compute,2,1,128,128,32,288,288,100.0,0,0.0,16.0,0.0
74,239,243,4,1,expert_down_weight_read,memory,2,1,128,128,32,288,288,100.0,32,8.0,16.0,50.0
75,243,246,3,1,expert_down_compute,compute,2,1,128,128,32,288,288,100.0,0,0.0,16.0,0.0
76,246,250,4,1,expert_gu_weight_read,memory,2,2,128,128,32,288,288,100.0,32,8.0,16.0,50.0
77,250,253,3,1,expert_gu_compute,compute,2,2,128,128,32,288,288,100.0,0,0.0,16.0,0.0
78,253,256,3,1,expert_nonlinear,compute,2,2,128,128,32,288,288,100.0,0,0.0,16.0,0.0
79,256,259,3,1,expert_down_weight_read,memory,2,2,128,128,32,288,288,100.0,16,5.333333333333333,16.0,33.33333333333333
80,259,261,2,1,expert_down_compute,compute,2,2,128,128,32,288,288,100.0,0,0.0,16.0,0.0
81,261,261,0,1,expert_release,state,2,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
82,261,263,2,1,topk_merge,compute,,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
83,263,263,0,1,token_complete,state,,,128,128,32,288,288,100.0,0,0.0,16.0,0.0
84,263,263,0,,release_request_kv,state,,,128,128,0,256,288,88.88888888888889,0,0.0,16.0,0.0
