start_cycle,end_cycle,resource,operation,token_id,layer_id,expert_id,bytes,prefetch_or_demand,prediction_correct
0,66,ON_CHIP_KV_READ,KV_READ,0,0,,270336,,
66,149,COMPUTE,ATTENTION,0,0,,0,,
149,224,COMPUTE,ROUTER,0,0,,0,,
224,6733,OFF_CHIP_DMA,EXPERT_LOAD,0,0,40,4325376,demand,
6733,10195,COMPUTE,EXPERT_GATE_UP,0,0,40,0,,
6733,13242,OFF_CHIP_DMA,EXPERT_LOAD,0,0,23,4325376,demand,
10195,11927,COMPUTE,EXPERT_DOWN,0,0,40,0,,
13242,16704,COMPUTE,EXPERT_GATE_UP,0,0,23,0,,
13242,19751,OFF_CHIP_DMA,EXPERT_LOAD,0,0,52,4325376,demand,
16704,18436,COMPUTE,EXPERT_DOWN,0,0,23,0,,
19751,23213,COMPUTE,EXPERT_GATE_UP,0,0,52,0,,
19751,26260,OFF_CHIP_DMA,EXPERT_LOAD,0,0,12,4325376,demand,
23213,24945,COMPUTE,EXPERT_DOWN,0,0,52,0,,
26260,29722,COMPUTE,EXPERT_GATE_UP,0,0,12,0,,
26260,32769,OFF_CHIP_DMA,EXPERT_LOAD,0,1,17,4325376,prefetch,True
29722,31454,COMPUTE,EXPERT_DOWN,0,0,12,0,,
31454,31520,ON_CHIP_KV_READ,KV_READ,0,1,,270336,,
31520,31603,COMPUTE,ATTENTION,0,1,,0,,
31603,31678,COMPUTE,ROUTER,0,1,,0,,
32769,39278,OFF_CHIP_DMA,EXPERT_LOAD,0,1,14,4325376,demand,
39278,42740,COMPUTE,EXPERT_GATE_UP,0,1,14,0,,
39278,45787,OFF_CHIP_DMA,EXPERT_LOAD,0,1,21,4325376,demand,
42740,44472,COMPUTE,EXPERT_DOWN,0,1,14,0,,
45787,49249,COMPUTE,EXPERT_GATE_UP,0,1,21,0,,
45787,52296,OFF_CHIP_DMA,EXPERT_LOAD,0,1,13,4325376,demand,
49249,50981,COMPUTE,EXPERT_DOWN,0,1,21,0,,
50981,54443,COMPUTE,EXPERT_GATE_UP,0,1,17,0,,
52296,58805,OFF_CHIP_DMA,EXPERT_LOAD,0,2,31,4325376,prefetch,True
54443,56175,COMPUTE,EXPERT_DOWN,0,1,17,0,,
56175,59637,COMPUTE,EXPERT_GATE_UP,0,1,13,0,,
58805,65314,OFF_CHIP_DMA,EXPERT_LOAD,0,2,44,4325376,prefetch,True
59637,61369,COMPUTE,EXPERT_DOWN,0,1,13,0,,
61369,61435,ON_CHIP_KV_READ,KV_READ,0,2,,270336,,
61435,61518,COMPUTE,ATTENTION,0,2,,0,,
61518,61593,COMPUTE,ROUTER,0,2,,0,,
65314,71823,OFF_CHIP_DMA,EXPERT_LOAD,0,2,31,4325376,demand,
71823,75285,COMPUTE,EXPERT_GATE_UP,0,2,31,0,,
71823,78332,OFF_CHIP_DMA,EXPERT_LOAD,0,2,45,4325376,prefetch,True
75285,77017,COMPUTE,EXPERT_DOWN,0,2,31,0,,
77017,80479,COMPUTE,EXPERT_GATE_UP,0,2,44,0,,
78332,84841,OFF_CHIP_DMA,EXPERT_LOAD,0,2,6,4325376,prefetch,True
80479,82211,COMPUTE,EXPERT_DOWN,0,2,44,0,,
82211,85673,COMPUTE,EXPERT_GATE_UP,0,2,45,0,,
84841,91350,OFF_CHIP_DMA,EXPERT_LOAD,0,3,29,4325376,prefetch,True
85673,87405,COMPUTE,EXPERT_DOWN,0,2,45,0,,
87405,90867,COMPUTE,EXPERT_GATE_UP,0,2,6,0,,
90867,92599,COMPUTE,EXPERT_DOWN,0,2,6,0,,
91350,97859,OFF_CHIP_DMA,EXPERT_LOAD,0,3,42,4325376,prefetch,True
92599,92665,ON_CHIP_KV_READ,KV_READ,0,3,,270336,,
92665,92748,COMPUTE,ATTENTION,0,3,,0,,
92748,92823,COMPUTE,ROUTER,0,3,,0,,
97859,104368,OFF_CHIP_DMA,EXPERT_LOAD,0,3,29,4325376,demand,
104368,107830,COMPUTE,EXPERT_GATE_UP,0,3,29,0,,
104368,110877,OFF_CHIP_DMA,EXPERT_LOAD,0,3,0,4325376,prefetch,True
107830,109562,COMPUTE,EXPERT_DOWN,0,3,29,0,,
109562,113024,COMPUTE,EXPERT_GATE_UP,0,3,42,0,,
110877,117386,OFF_CHIP_DMA,EXPERT_LOAD,0,3,13,4325376,demand,
113024,114756,COMPUTE,EXPERT_DOWN,0,3,42,0,,
114756,118218,COMPUTE,EXPERT_GATE_UP,0,3,0,0,,
117386,123895,OFF_CHIP_DMA,EXPERT_LOAD,0,4,53,4325376,prefetch,True
