token_id,context_length,start_cycle,finish_cycle,kv_occupancy_bytes,expert_cache_capacity_bytes,expert_cache_occupancy_bytes,resident_expert_count,kv_eviction_count,total_eviction_count
0,33,0,776044,6488064,18677760,17301504,4,0,114
1,34,776044,1552092,6684672,18481152,17301504,4,0,232
2,35,1552092,2321636,6881280,18284544,17301504,4,0,349
3,36,2321636,3058639,7077888,18087936,17301504,4,0,461
4,37,3058639,3815173,7274496,17891328,17301504,4,0,576
5,38,3815173,4591239,7471104,17694720,17301504,4,0,694
6,39,4591239,5321746,7667712,17498112,17301504,4,0,805
7,40,5321746,6078294,7864320,17301504,17301504,4,0,920
8,41,6078294,6836161,8060928,17104896,12976128,3,1,1036
9,42,6836161,7554979,8257536,16908288,12976128,3,0,1145
10,43,7554979,8224359,8454144,16711680,12976128,3,0,1247
11,44,8224359,8956204,8650752,16515072,12976128,3,0,1358
12,45,8956204,9681544,8847360,16318464,12976128,3,0,1468
13,46,9681544,10444628,9043968,16121856,12976128,3,0,1584
14,47,10444628,11220734,9240576,15925248,12976128,3,0,1702
15,48,11220734,11992965,9437184,15728640,12976128,3,0,1819
16,49,11992965,12762571,9633792,15532032,12976128,3,0,1936
17,50,12762571,13507460,9830400,15335424,12976128,3,0,2049
18,51,13507460,14218494,10027008,15138816,12976128,3,0,2157
19,52,14218494,14962077,10223616,14942208,12976128,3,0,2270
20,53,14962077,15706980,10420224,14745600,12976128,3,0,2383
21,54,15706980,16388112,10616832,14548992,12976128,3,0,2486
22,55,16388112,17067934,10813440,14352384,12976128,3,0,2589
23,56,17067934,17778990,11010048,14155776,12976128,3,0,2697
24,57,17778990,18428906,11206656,13959168,12976128,3,0,2796
25,58,18428906,19198552,11403264,13762560,12976128,3,0,2913
26,59,19198552,19903113,11599872,13565952,12976128,3,0,3020
27,60,19903113,20666259,11796480,13369344,12976128,3,0,3136
28,61,20666259,21435918,11993088,13172736,12976128,3,0,3253
29,62,21435918,22176982,12189696,12976128,12976128,3,0,3366
30,63,22176982,22870439,12386304,12779520,8650752,2,1,3463
31,64,22870439,23595799,12582912,12582912,8650752,2,0,3559
32,65,23595799,24289649,12779520,12386304,8650752,2,0,3655
33,66,24289649,24983519,12976128,12189696,8650752,2,0,3751
34,67,24983519,25677405,13172736,11993088,8650752,2,0,3847
35,68,25677405,26392467,13369344,11796480,8650752,2,0,3943
36,69,26392467,27107549,13565952,11599872,8650752,2,0,4039
37,70,27107549,27880568,13762560,11403264,8650752,2,0,4135
38,71,27880568,28584914,13959168,11206656,8650752,2,0,4231
39,72,28584914,29236542,14155776,11010048,8650752,2,0,4327
40,73,29236542,29909358,14352384,10813440,8650752,2,0,4423
41,74,29909358,30603368,14548992,10616832,8650752,2,0,4519
42,75,30603368,31345870,14745600,10420224,8650752,2,0,4616
43,76,31345870,32018310,14942208,10223616,8650752,2,0,4712
44,77,32018310,32701568,15138816,10027008,8650752,2,0,4808
45,78,32701568,33406038,15335424,9830400,8650752,2,0,4904
46,79,33406038,34089323,15532032,9633792,8650752,2,0,5000
47,80,34089323,34741023,15728640,9437184,8650752,2,0,5096
48,81,34741023,35493171,15925248,9240576,8650752,2,0,5192
49,82,35493171,36186883,16121856,9043968,8650752,2,0,5288
50,83,36186883,36902280,16318464,8847360,8650752,2,0,5384
51,84,36902280,37569598,16515072,8650752,8650752,2,0,5480
52,85,37569598,38704006,16711680,8454144,4325376,1,1,5577
53,86,38704006,39838534,16908288,8257536,4325376,1,0,5673
54,87,39838534,40973158,17104896,8060928,4325376,1,0,5769
55,88,40973158,42107902,17301504,7864320,4325376,1,0,5865
56,89,42107902,43242742,17498112,7667712,4325376,1,0,5961
57,90,43242742,44377702,17694720,7471104,4325376,1,0,6057
58,91,44377702,45512758,17891328,7274496,4325376,1,0,6153
59,92,45512758,46647934,18087936,7077888,4325376,1,0,6249
60,93,46647934,47783206,18284544,6881280,4325376,1,0,6345
61,94,47783206,48918598,18481152,6684672,4325376,1,0,6441
62,95,48918598,50054086,18677760,6488064,4325376,1,0,6537
63,96,50054086,51189670,18874368,6291456,4325376,1,0,6633
64,97,51189670,52325374,19070976,6094848,4325376,1,0,6729
65,98,52325374,53461174,19267584,5898240,4325376,1,0,6825
66,99,53461174,54597094,19464192,5701632,4325376,1,0,6921
67,100,54597094,55733110,19660800,5505024,4325376,1,0,7017
68,101,55733110,56869246,19857408,5308416,4325376,1,0,7113
69,102,56869246,58005478,20054016,5111808,4325376,1,0,7209
70,103,58005478,59141830,20250624,4915200,4325376,1,0,7305
71,104,59141830,60278278,20447232,4718592,4325376,1,0,7401
72,105,60278278,61414846,20643840,4521984,4325376,1,0,7497
73,106,61414846,62551510,20840448,4325376,4325376,1,0,7593
74,107,62551510,63688270,21037056,4128768,0,0,1,7594
75,108,63688270,64825150,21233664,3932160,0,0,0,7594
76,109,64825150,65962126,21430272,3735552,0,0,0,7594
77,110,65962126,67099222,21626880,3538944,0,0,0,7594
78,111,67099222,68236414,21823488,3342336,0,0,0,7594
79,112,68236414,69373726,22020096,3145728,0,0,0,7594
80,113,69373726,70511134,22216704,2949120,0,0,0,7594
81,114,70511134,71648662,22413312,2752512,0,0,0,7594
82,115,71648662,72786286,22609920,2555904,0,0,0,7594
83,116,72786286,73924030,22806528,2359296,0,0,0,7594
84,117,73924030,75061870,23003136,2162688,0,0,0,7594
85,118,75061870,76199830,23199744,1966080,0,0,0,7594
86,119,76199830,77337886,23396352,1769472,0,0,0,7594
87,120,77337886,78476038,23592960,1572864,0,0,0,7594
88,121,78476038,79614310,23789568,1376256,0,0,0,7594
89,122,79614310,80752678,23986176,1179648,0,0,0,7594
90,123,80752678,81891166,24182784,983040,0,0,0,7594
91,124,81891166,83029750,24379392,786432,0,0,0,7594
92,125,83029750,84168454,24576000,589824,0,0,0,7594
93,126,84168454,85307254,24772608,393216,0,0,0,7594
94,127,85307254,86446174,24969216,196608,0,0,0,7594
95,128,86446174,87585190,25165824,0,0,0,0,7594
