start_cycle,end_cycle,resource,operation,token_id,layer_id,expert_id,bytes,prefetch_or_demand,prediction_correct
0,66,ON_CHIP_KV_READ,KV_READ,0,0,,270336,,
66,149,COMPUTE,ATTENTION,0,0,,0,,
149,224,COMPUTE,ROUTER,0,0,,0,,
224,6733,OFF_CHIP_DMA,EXPERT_LOAD,0,0,40,4325376,demand,
6733,10195,COMPUTE,EXPERT_GATE_UP,0,0,40,0,,
6733,13242,OFF_CHIP_DMA,EXPERT_LOAD,0,0,23,4325376,demand,
10195,11927,COMPUTE,EXPERT_DOWN,0,0,40,0,,
13242,16704,COMPUTE,EXPERT_GATE_UP,0,0,23,0,,
13242,19751,OFF_CHIP_DMA,EXPERT_LOAD,0,0,52,4325376,demand,
16704,18436,COMPUTE,EXPERT_DOWN,0,0,23,0,,
19751,23213,COMPUTE,EXPERT_GATE_UP,0,0,52,0,,
19751,26260,OFF_CHIP_DMA,EXPERT_LOAD,0,0,12,4325376,demand,
23213,24945,COMPUTE,EXPERT_DOWN,0,0,52,0,,
26260,29722,COMPUTE,EXPERT_GATE_UP,0,0,12,0,,
29722,31454,COMPUTE,EXPERT_DOWN,0,0,12,0,,
31454,31520,ON_CHIP_KV_READ,KV_READ,0,1,,270336,,
31520,31603,COMPUTE,ATTENTION,0,1,,0,,
31603,31678,COMPUTE,ROUTER,0,1,,0,,
31678,38187,OFF_CHIP_DMA,EXPERT_LOAD,0,1,14,4325376,demand,
38187,41649,COMPUTE,EXPERT_GATE_UP,0,1,14,0,,
38187,44696,OFF_CHIP_DMA,EXPERT_LOAD,0,1,21,4325376,demand,
41649,43381,COMPUTE,EXPERT_DOWN,0,1,14,0,,
44696,48158,COMPUTE,EXPERT_GATE_UP,0,1,21,0,,
44696,51205,OFF_CHIP_DMA,EXPERT_LOAD,0,1,17,4325376,demand,
48158,49890,COMPUTE,EXPERT_DOWN,0,1,21,0,,
51205,54667,COMPUTE,EXPERT_GATE_UP,0,1,17,0,,
51205,57714,OFF_CHIP_DMA,EXPERT_LOAD,0,1,13,4325376,demand,
54667,56399,COMPUTE,EXPERT_DOWN,0,1,17,0,,
57714,61176,COMPUTE,EXPERT_GATE_UP,0,1,13,0,,
61176,62908,COMPUTE,EXPERT_DOWN,0,1,13,0,,
62908,62974,ON_CHIP_KV_READ,KV_READ,0,2,,270336,,
62974,63057,COMPUTE,ATTENTION,0,2,,0,,
63057,63132,COMPUTE,ROUTER,0,2,,0,,
63132,69641,OFF_CHIP_DMA,EXPERT_LOAD,0,2,31,4325376,demand,
69641,73103,COMPUTE,EXPERT_GATE_UP,0,2,31,0,,
69641,76150,OFF_CHIP_DMA,EXPERT_LOAD,0,2,44,4325376,demand,
73103,74835,COMPUTE,EXPERT_DOWN,0,2,31,0,,
76150,79612,COMPUTE,EXPERT_GATE_UP,0,2,44,0,,
76150,82659,OFF_CHIP_DMA,EXPERT_LOAD,0,2,45,4325376,demand,
79612,81344,COMPUTE,EXPERT_DOWN,0,2,44,0,,
82659,86121,COMPUTE,EXPERT_GATE_UP,0,2,45,0,,
82659,89168,OFF_CHIP_DMA,EXPERT_LOAD,0,2,6,4325376,demand,
86121,87853,COMPUTE,EXPERT_DOWN,0,2,45,0,,
89168,92630,COMPUTE,EXPERT_GATE_UP,0,2,6,0,,
92630,94362,COMPUTE,EXPERT_DOWN,0,2,6,0,,
94362,94428,ON_CHIP_KV_READ,KV_READ,0,3,,270336,,
94428,94511,COMPUTE,ATTENTION,0,3,,0,,
94511,94586,COMPUTE,ROUTER,0,3,,0,,
94586,101095,OFF_CHIP_DMA,EXPERT_LOAD,0,3,29,4325376,demand,
101095,104557,COMPUTE,EXPERT_GATE_UP,0,3,29,0,,
101095,107604,OFF_CHIP_DMA,EXPERT_LOAD,0,3,42,4325376,demand,
104557,106289,COMPUTE,EXPERT_DOWN,0,3,29,0,,
107604,111066,COMPUTE,EXPERT_GATE_UP,0,3,42,0,,
107604,114113,OFF_CHIP_DMA,EXPERT_LOAD,0,3,0,4325376,demand,
111066,112798,COMPUTE,EXPERT_DOWN,0,3,42,0,,
114113,117575,COMPUTE,EXPERT_GATE_UP,0,3,0,0,,
114113,120622,OFF_CHIP_DMA,EXPERT_LOAD,0,3,13,4325376,demand,
117575,119307,COMPUTE,EXPERT_DOWN,0,3,0,0,,
120622,124084,COMPUTE,EXPERT_GATE_UP,0,3,13,0,,
124084,125816,COMPUTE,EXPERT_DOWN,0,3,13,0,,
125816,125882,ON_CHIP_KV_READ,KV_READ,0,4,,270336,,
125882,125965,COMPUTE,ATTENTION,0,4,,0,,
