token_id,context_length,start_cycle,finish_cycle,kv_occupancy_bytes,expert_cache_capacity_bytes,expert_cache_occupancy_bytes,resident_expert_count,kv_eviction_count,total_eviction_count
0,33,0,754896,6488064,18677760,17301504,4,0,92
1,34,754896,1509888,6684672,18481152,17301504,4,0,188
2,35,1509888,2265000,6881280,18284544,17301504,4,0,284
3,36,2265000,3020208,7077888,18087936,17301504,4,0,380
4,37,3020208,3775512,7274496,17891328,17301504,4,0,476
5,38,3775512,4530936,7471104,17694720,17301504,4,0,572
6,39,4530936,5286456,7667712,17498112,17301504,4,0,668
7,40,5286456,6042096,7864320,17301504,17301504,4,0,764
8,41,6042096,6797832,8060928,17104896,12976128,3,1,861
9,42,6797832,7553688,8257536,16908288,12976128,3,0,957
10,43,7553688,8309640,8454144,16711680,12976128,3,0,1053
11,44,8309640,9065712,8650752,16515072,12976128,3,0,1149
12,45,9065712,9821880,8847360,16318464,12976128,3,0,1245
13,46,9821880,10578168,9043968,16121856,12976128,3,0,1341
14,47,10578168,11334552,9240576,15925248,12976128,3,0,1437
15,48,11334552,12091032,9437184,15728640,12976128,3,0,1533
16,49,12091032,12847632,9633792,15532032,12976128,3,0,1629
17,50,12847632,13604328,9830400,15335424,12976128,3,0,1725
18,51,13604328,14361144,10027008,15138816,12976128,3,0,1821
19,52,14361144,15118056,10223616,14942208,12976128,3,0,1917
20,53,15118056,15875088,10420224,14745600,12976128,3,0,2013
21,54,15875088,16632216,10616832,14548992,12976128,3,0,2109
22,55,16632216,17389464,10813440,14352384,12976128,3,0,2205
23,56,17389464,18146808,11010048,14155776,12976128,3,0,2301
24,57,18146808,18904272,11206656,13959168,12976128,3,0,2397
25,58,18904272,19661832,11403264,13762560,12976128,3,0,2493
26,59,19661832,20419512,11599872,13565952,12976128,3,0,2589
27,60,20419512,21177288,11796480,13369344,12976128,3,0,2685
28,61,21177288,21935160,11993088,13172736,12976128,3,0,2781
29,62,21935160,22693152,12189696,12976128,12976128,3,0,2877
30,63,22693152,23451240,12386304,12779520,8650752,2,1,2974
31,64,23451240,24209448,12582912,12582912,8650752,2,0,3070
32,65,24209448,24967752,12779520,12386304,8650752,2,0,3166
33,66,24967752,25726176,12976128,12189696,8650752,2,0,3262
34,67,25726176,26484696,13172736,11993088,8650752,2,0,3358
35,68,26484696,27243336,13369344,11796480,8650752,2,0,3454
36,69,27243336,28002072,13565952,11599872,8650752,2,0,3550
37,70,28002072,28760928,13762560,11403264,8650752,2,0,3646
38,71,28760928,29519880,13959168,11206656,8650752,2,0,3742
39,72,29519880,30278928,14155776,11010048,8650752,2,0,3838
40,73,30278928,31038096,14352384,10813440,8650752,2,0,3934
41,74,31038096,31797360,14548992,10616832,8650752,2,0,4030
42,75,31797360,32556744,14745600,10420224,8650752,2,0,4126
43,76,32556744,33316224,14942208,10223616,8650752,2,0,4222
44,77,33316224,34075824,15138816,10027008,8650752,2,0,4318
45,78,34075824,34835520,15335424,9830400,8650752,2,0,4414
46,79,34835520,35595336,15532032,9633792,8650752,2,0,4510
47,80,35595336,36355248,15728640,9437184,8650752,2,0,4606
48,81,36355248,37115280,15925248,9240576,8650752,2,0,4702
49,82,37115280,37875408,16121856,9043968,8650752,2,0,4798
50,83,37875408,38635656,16318464,8847360,8650752,2,0,4894
51,84,38635656,39396000,16515072,8650752,8650752,2,0,4990
52,85,39396000,40530408,16711680,8454144,4325376,1,1,5087
53,86,40530408,41664936,16908288,8257536,4325376,1,0,5183
54,87,41664936,42799560,17104896,8060928,4325376,1,0,5279
55,88,42799560,43934304,17301504,7864320,4325376,1,0,5375
56,89,43934304,45069144,17498112,7667712,4325376,1,0,5471
57,90,45069144,46204104,17694720,7471104,4325376,1,0,5567
58,91,46204104,47339160,17891328,7274496,4325376,1,0,5663
59,92,47339160,48474336,18087936,7077888,4325376,1,0,5759
60,93,48474336,49609608,18284544,6881280,4325376,1,0,5855
61,94,49609608,50745000,18481152,6684672,4325376,1,0,5951
62,95,50745000,51880488,18677760,6488064,4325376,1,0,6047
63,96,51880488,53016072,18874368,6291456,4325376,1,0,6143
64,97,53016072,54151776,19070976,6094848,4325376,1,0,6239
65,98,54151776,55287576,19267584,5898240,4325376,1,0,6335
66,99,55287576,56423496,19464192,5701632,4325376,1,0,6431
67,100,56423496,57559512,19660800,5505024,4325376,1,0,6527
68,101,57559512,58695648,19857408,5308416,4325376,1,0,6623
69,102,58695648,59831880,20054016,5111808,4325376,1,0,6719
70,103,59831880,60968232,20250624,4915200,4325376,1,0,6815
